,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_deter_dti_con_aparc150+subcort,binar,bag_of_edges,l1_l2_linf,standard,LR,1.0,0.0,"{'solver': 'liblinear', 'C': 0.01, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'max_iter': 50, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'solver': 'liblinear', 'C': 0.01, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'max_iter': 50, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
1,IPCAS_1_deter_dti_con_aparc150+subcort,binar,bag_of_edges,l1_l2_linf,standard,SGD,1.0,0.0,"{'l1_ratio': 0, 'shuffle': True, 'power_t': 0.5, 'random_state': 0, 'loss': 'hinge', 'verbose': 0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.001, 'n_jobs': -1, 'epsilon': 0.1, 'n_iter': 50, 'class_weight': None, 'eta0': 0.0, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'l1_ratio': 0, 'shuffle': True, 'power_t': 0.5, 'random_state': 0, 'loss': 'hinge', 'verbose': 0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.001, 'n_jobs': -1, 'epsilon': 0.1, 'n_iter': 50, 'class_weight': None, 'eta0': 0.0, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
2,IPCAS_1_deter_dti_con_aparc150+subcort,binar,degrees,l1_l2_linf,standard,LR,1.0,0.0,"{'solver': 'liblinear', 'C': 0.1, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l1', 'max_iter': 50, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'solver': 'liblinear', 'C': 0.01, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'max_iter': 50, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
3,IPCAS_1_deter_dti_con_aparc150+subcort,binar,degrees,l1_l2_linf,standard,SGD,1.0,0.0,"{'l1_ratio': 0, 'shuffle': True, 'power_t': 0.5, 'random_state': 0, 'loss': 'hinge', 'verbose': 0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.001, 'n_jobs': -1, 'epsilon': 0.1, 'n_iter': 50, 'class_weight': None, 'eta0': 0.0, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'l1_ratio': 0, 'shuffle': True, 'power_t': 0.5, 'random_state': 0, 'loss': 'hinge', 'verbose': 0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.001, 'n_jobs': -1, 'epsilon': 0.1, 'n_iter': 50, 'class_weight': None, 'eta0': 0.0, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
4,IPCAS_1_deter_dti_con_aparc150+subcort,binar,closeness_centrality,l1_l2_linf,standard,LR,1.0,0.0,"{'solver': 'liblinear', 'C': 0.1, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l1', 'max_iter': 50, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'solver': 'liblinear', 'C': 0.01, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'max_iter': 50, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
5,IPCAS_1_deter_dti_con_aparc150+subcort,binar,closeness_centrality,l1_l2_linf,standard,SGD,1.0,0.0,"{'l1_ratio': 0, 'shuffle': True, 'power_t': 0.5, 'random_state': 0, 'loss': 'hinge', 'verbose': 0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.001, 'n_jobs': -1, 'epsilon': 0.1, 'n_iter': 50, 'class_weight': None, 'eta0': 0.0, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'l1_ratio': 0, 'shuffle': True, 'power_t': 0.5, 'random_state': 0, 'loss': 'hinge', 'verbose': 0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.001, 'n_jobs': -1, 'epsilon': 0.1, 'n_iter': 50, 'class_weight': None, 'eta0': 0.0, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
6,IPCAS_1_deter_dti_con_aparc150+subcort,binar,betweenness_centrality,l1_l2_linf,standard,LR,0.961538461538,0.0452366122164,"{'solver': 'liblinear', 'C': 0.1, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l1', 'max_iter': 50, 'fit_intercept': True}",0.963636363636,0.0574959574576,"[ 0.90909091  1.          0.90909091  1.          0.90909091  1.          1.
  1.          1.          1.          0.81818182  1.          1.          1.
  1.          1.          0.90909091  0.81818182  0.90909091  1.          1.
  1.          0.90909091  1.          0.81818182  0.90909091  1.          1.
  1.          0.90909091  1.          1.          0.90909091  0.90909091
  1.          1.          1.          0.90909091  1.          1.          1.
  1.          1.          0.81818182  1.          1.          1.
  0.90909091  1.          1.        ]",1.0,0.0,"{'solver': 'liblinear', 'C': 0.1, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l1', 'max_iter': 50, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
7,IPCAS_1_deter_dti_con_aparc150+subcort,binar,betweenness_centrality,l1_l2_linf,standard,SGD,1.0,0.0,"{'l1_ratio': 0.2, 'shuffle': True, 'power_t': 0.5, 'random_state': 0, 'loss': 'hinge', 'verbose': 0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.001, 'n_jobs': -1, 'epsilon': 0.1, 'n_iter': 50, 'class_weight': None, 'eta0': 0.0, 'fit_intercept': True}",0.972727272727,0.0582102203403,"[ 1.          1.          1.          1.          1.          1.
  0.90909091  1.          1.          1.          0.81818182  0.90909091
  1.          1.          1.          1.          1.          0.81818182
  1.          1.          1.          1.          1.          1.
  0.81818182  1.          0.90909091  1.          1.          1.          1.
  1.          0.81818182  0.90909091  1.          1.          1.          1.
  1.          1.          1.          1.          1.          0.81818182
  1.          1.          1.          0.90909091  1.          1.        ]",1.0,0.0,"{'l1_ratio': 0, 'shuffle': True, 'power_t': 0.5, 'random_state': 0, 'loss': 'hinge', 'verbose': 0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.001, 'n_jobs': -1, 'epsilon': 0.1, 'n_iter': 50, 'class_weight': None, 'eta0': 0.0, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
8,IPCAS_1_deter_dti_con_aparc150+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,LR,1.0,0.0,"{'solver': 'liblinear', 'C': 0.1, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l1', 'max_iter': 50, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'solver': 'liblinear', 'C': 0.01, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'max_iter': 50, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
9,IPCAS_1_deter_dti_con_aparc150+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,SGD,1.0,0.0,"{'l1_ratio': 0, 'shuffle': True, 'power_t': 0.5, 'random_state': 0, 'loss': 'hinge', 'verbose': 0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.001, 'n_jobs': -1, 'epsilon': 0.1, 'n_iter': 50, 'class_weight': None, 'eta0': 0.0, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'l1_ratio': 0, 'shuffle': True, 'power_t': 0.5, 'random_state': 0, 'loss': 'hinge', 'verbose': 0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.001, 'n_jobs': -1, 'epsilon': 0.1, 'n_iter': 50, 'class_weight': None, 'eta0': 0.0, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
10,IPCAS_1_deter_dti_con_aparc150+subcort,binar,pagerank,l1_l2_linf,standard,LR,1.0,0.0,"{'solver': 'liblinear', 'C': 0.01, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'max_iter': 50, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'solver': 'liblinear', 'C': 0.01, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'max_iter': 50, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
11,IPCAS_1_deter_dti_con_aparc150+subcort,binar,pagerank,l1_l2_linf,standard,SGD,1.0,0.0,"{'l1_ratio': 0, 'shuffle': True, 'power_t': 0.5, 'random_state': 0, 'loss': 'hinge', 'verbose': 0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.001, 'n_jobs': -1, 'epsilon': 0.1, 'n_iter': 50, 'class_weight': None, 'eta0': 0.0, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'l1_ratio': 0, 'shuffle': True, 'power_t': 0.5, 'random_state': 0, 'loss': 'hinge', 'verbose': 0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.001, 'n_jobs': -1, 'epsilon': 0.1, 'n_iter': 50, 'class_weight': None, 'eta0': 0.0, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
12,IPCAS_1_deter_dti_con_aparc150+subcort,binar,efficiency,l1_l2_linf,standard,LR,1.0,0.0,"{'solver': 'liblinear', 'C': 0.01, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'max_iter': 50, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'solver': 'liblinear', 'C': 0.01, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'max_iter': 50, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
13,IPCAS_1_deter_dti_con_aparc150+subcort,binar,efficiency,l1_l2_linf,standard,SGD,1.0,0.0,"{'l1_ratio': 0, 'shuffle': True, 'power_t': 0.5, 'random_state': 0, 'loss': 'hinge', 'verbose': 0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.001, 'n_jobs': -1, 'epsilon': 0.1, 'n_iter': 50, 'class_weight': None, 'eta0': 0.0, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'l1_ratio': 0, 'shuffle': True, 'power_t': 0.5, 'random_state': 0, 'loss': 'hinge', 'verbose': 0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.001, 'n_jobs': -1, 'epsilon': 0.1, 'n_iter': 50, 'class_weight': None, 'eta0': 0.0, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
14,IPCAS_1_deter_dti_con_aparc150+subcort,binar,clustering_coefficient,l1_l2_linf,standard,LR,1.0,0.0,"{'solver': 'liblinear', 'C': 0.01, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'max_iter': 50, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'solver': 'liblinear', 'C': 0.01, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'max_iter': 50, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
15,IPCAS_1_deter_dti_con_aparc150+subcort,binar,clustering_coefficient,l1_l2_linf,standard,SGD,1.0,0.0,"{'l1_ratio': 0, 'shuffle': True, 'power_t': 0.5, 'random_state': 0, 'loss': 'hinge', 'verbose': 0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.001, 'n_jobs': -1, 'epsilon': 0.1, 'n_iter': 50, 'class_weight': None, 'eta0': 0.0, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'l1_ratio': 0, 'shuffle': True, 'power_t': 0.5, 'random_state': 0, 'loss': 'hinge', 'verbose': 0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.001, 'n_jobs': -1, 'epsilon': 0.1, 'n_iter': 50, 'class_weight': None, 'eta0': 0.0, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
16,IPCAS_1_deter_dti_con_aparc150+subcort,binar,triangles,l1_l2_linf,standard,LR,0.942307692308,0.0460468846053,"{'solver': 'liblinear', 'C': 0.4, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'max_iter': 50, 'fit_intercept': True}",0.947272727273,0.0657820091459,"[ 1.          0.81818182  0.90909091  0.72727273  1.          1.          1.
  0.90909091  1.          1.          1.          0.81818182  1.
  0.90909091  0.90909091  0.90909091  0.90909091  0.90909091  0.90909091
  1.          1.          0.81818182  0.81818182  0.90909091  1.          1.
  0.90909091  1.          0.90909091  0.90909091  0.90909091  1.          1.
  0.90909091  1.          1.          1.          1.          1.          1.
  0.90909091  1.          0.90909091  1.          1.          1.          1.
  1.          0.90909091  0.90909091]",1.0,0.0,"{'solver': 'liblinear', 'C': 0.1, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l1', 'max_iter': 50, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
17,IPCAS_1_deter_dti_con_aparc150+subcort,binar,triangles,l1_l2_linf,standard,SGD,1.0,0.0,"{'l1_ratio': 0, 'shuffle': True, 'power_t': 0.5, 'random_state': 0, 'loss': 'log', 'verbose': 0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.001, 'n_jobs': -1, 'epsilon': 0.1, 'n_iter': 50, 'class_weight': None, 'eta0': 0.0, 'fit_intercept': True}",0.976363636364,0.0438253483389,"[ 1.          0.81818182  1.          0.90909091  1.          1.          1.
  0.90909091  1.          1.          1.          1.          1.
  0.90909091  0.90909091  0.90909091  0.90909091  1.          1.          1.
  1.          0.90909091  1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.
  0.90909091  1.          1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          0.90909091  1.        ]",1.0,0.0,"{'l1_ratio': 0, 'shuffle': True, 'power_t': 0.5, 'random_state': 0, 'loss': 'hinge', 'verbose': 0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.001, 'n_jobs': -1, 'epsilon': 0.1, 'n_iter': 50, 'class_weight': None, 'eta0': 0.0, 'fit_intercept': True}",0.998,0.0103494497975,"[ 1.          1.          1.          0.93333333  1.          1.          1.
  1.          1.          1.          1.          1.          1.
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.        ]"
18,IPCAS_1_deter_dti_con_aparc150+subcort,max,bag_of_edges,l1_l2_linf,standard,LR,1.0,0.0,"{'solver': 'liblinear', 'C': 0.01, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'max_iter': 50, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'solver': 'liblinear', 'C': 0.01, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'max_iter': 50, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
19,IPCAS_1_deter_dti_con_aparc150+subcort,max,bag_of_edges,l1_l2_linf,standard,SGD,1.0,0.0,"{'l1_ratio': 0, 'shuffle': True, 'power_t': 0.5, 'random_state': 0, 'loss': 'hinge', 'verbose': 0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.001, 'n_jobs': -1, 'epsilon': 0.1, 'n_iter': 50, 'class_weight': None, 'eta0': 0.0, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'l1_ratio': 0, 'shuffle': True, 'power_t': 0.5, 'random_state': 0, 'loss': 'hinge', 'verbose': 0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'alpha': 0.001, 'n_jobs': -1, 'epsilon': 0.1, 'n_iter': 50, 'class_weight': None, 'eta0': 0.0, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
20,IPCAS_1_deter_dti_con_aparc150+subcort,max,degrees,l1_l2_linf,standard,LR,1.0,0.0,"{'solver': 'liblinear', 'C': 0.1, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l1', 'max_iter': 50, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'solver': 'liblinear', 'C': 0.01, 'n_jobs': -1, 'random_state': 0, 'penalty': 'l2', 'max_iter': 50, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
