,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_proba_csd_con_aparc150+subcort,binar,bag_of_edges,l1_l2_linf,standard,LR,0.942307692308,0.0707455367247,"{'random_state': 0, 'n_jobs': -1, 'fit_intercept': True, 'C': 0.01, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l2'}",0.952727272727,0.0609565622336,"[ 1.          0.90909091  1.          1.          1.          1.
  0.90909091  0.90909091  1.          0.90909091  0.90909091  1.          1.
  0.90909091  0.90909091  0.81818182  0.90909091  0.90909091  1.
  0.90909091  0.90909091  0.81818182  1.          1.          0.90909091
  1.          1.          1.          1.          0.90909091  1.          1.
  1.          0.90909091  0.81818182  1.          1.          1.          1.
  1.          1.          0.90909091  0.81818182  0.81818182  1.          1.
  1.          1.          0.90909091  1.        ]",0.99358974359,0.011703473451,"{'random_state': 0, 'n_jobs': -1, 'fit_intercept': True, 'C': 0.01, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l2'}",0.994666666667,0.0154344492037,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.93333333  1.          1.          1.          1.
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          0.96666667
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          0.96666667  0.93333333  1.          1.          1.          1.
  1.          1.        ]"
1,IPCAS_1_proba_csd_con_aparc150+subcort,binar,bag_of_edges,l1_l2_linf,standard,SGD,0.980769230769,0.0351104203529,"{'eta0': 0.0, 'n_jobs': -1, 'learning_rate': 'optimal', 'epsilon': 0.1, 'verbose': 0, 'random_state': 0, 'class_weight': None, 'penalty': 'elasticnet', 'alpha': 1.0, 'l1_ratio': 0, 'n_iter': 50, 'power_t': 0.5, 'shuffle': True, 'fit_intercept': True, 'loss': 'log'}",0.932727272727,0.065074655157,"[ 1.          0.90909091  0.90909091  1.          1.          0.90909091
  0.90909091  0.90909091  1.          0.90909091  1.          1.          1.
  1.          0.90909091  0.81818182  0.81818182  0.90909091  0.81818182
  0.90909091  0.90909091  0.81818182  0.90909091  1.          1.
  0.90909091  1.          0.90909091  1.          0.90909091  0.81818182
  1.          0.90909091  0.90909091  0.81818182  0.90909091  1.
  0.90909091  1.          1.          1.          0.81818182  0.90909091
  0.81818182  0.90909091  1.          1.          1.          0.90909091
  1.        ]",0.99358974359,0.011703473451,"{'eta0': 0.0, 'n_jobs': -1, 'learning_rate': 'optimal', 'epsilon': 0.1, 'verbose': 0, 'random_state': 0, 'class_weight': None, 'penalty': 'elasticnet', 'alpha': 0.001, 'l1_ratio': 0, 'n_iter': 50, 'power_t': 0.5, 'shuffle': True, 'fit_intercept': True, 'loss': 'hinge'}",0.994666666667,0.0154344492037,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.93333333  1.          1.          1.          1.
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          0.96666667
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          0.96666667  0.93333333  1.          1.          1.          1.
  1.          1.        ]"
2,IPCAS_1_proba_csd_con_aparc150+subcort,binar,degrees,l1_l2_linf,standard,LR,1.0,0.0,"{'random_state': 0, 'n_jobs': -1, 'fit_intercept': True, 'C': 0.45, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l2'}",0.983636363636,0.0349261322042,"[ 1.          1.          1.          1.          0.90909091  1.          1.
  1.          0.90909091  0.90909091  1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          0.90909091  0.90909091  1.          0.90909091
  1.          1.        ]",1.0,0.0,"{'random_state': 0, 'n_jobs': -1, 'fit_intercept': True, 'C': 0.05, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l2'}",0.994,0.0172433562085,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.93333333  1.          1.          1.          1.
  1.          1.          0.93333333  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.93333333  1.          1.          1.          1.
  1.          1.          0.96666667  1.          1.          1.          1.
  1.          1.          0.96666667  0.96666667  1.          1.          1.
  1.        ]"
3,IPCAS_1_proba_csd_con_aparc150+subcort,binar,degrees,l1_l2_linf,standard,SGD,1.0,0.0,"{'eta0': 0.0, 'n_jobs': -1, 'learning_rate': 'optimal', 'epsilon': 0.1, 'verbose': 0, 'random_state': 0, 'class_weight': None, 'penalty': 'elasticnet', 'alpha': 0.01, 'l1_ratio': 0.4, 'n_iter': 50, 'power_t': 0.5, 'shuffle': True, 'fit_intercept': True, 'loss': 'log'}",0.987272727273,0.0315442755871,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          0.90909091  0.90909091  1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          1.          0.90909091  1.          0.90909091
  1.          1.        ]",1.0,0.0,"{'eta0': 0.0, 'n_jobs': -1, 'learning_rate': 'optimal', 'epsilon': 0.1, 'verbose': 0, 'random_state': 0, 'class_weight': None, 'penalty': 'elasticnet', 'alpha': 0.001, 'l1_ratio': 0, 'n_iter': 50, 'power_t': 0.5, 'shuffle': True, 'fit_intercept': True, 'loss': 'hinge'}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
4,IPCAS_1_proba_csd_con_aparc150+subcort,binar,closeness_centrality,l1_l2_linf,standard,LR,1.0,0.0,"{'random_state': 0, 'n_jobs': -1, 'fit_intercept': True, 'C': 0.25, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l2'}",0.983636363636,0.0349261322042,"[ 1.          1.          1.          1.          0.90909091  1.          1.
  1.          0.90909091  0.90909091  1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.
  0.90909091  1.          1.          0.90909091  1.          1.          1.
  1.          1.          1.          1.          0.90909091  1.
  0.90909091  1.          1.        ]",1.0,0.0,"{'random_state': 0, 'n_jobs': -1, 'fit_intercept': True, 'C': 0.05, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l2'}",0.996666666667,0.0120185042515,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.96666667  1.          1.          1.          1.
  1.          1.          0.93333333  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.96666667  0.96666667  1.          1.          1.
  1.        ]"
5,IPCAS_1_proba_csd_con_aparc150+subcort,binar,closeness_centrality,l1_l2_linf,standard,SGD,1.0,0.0,"{'eta0': 0.0, 'n_jobs': -1, 'learning_rate': 'optimal', 'epsilon': 0.1, 'verbose': 0, 'random_state': 0, 'class_weight': None, 'penalty': 'elasticnet', 'alpha': 0.001, 'l1_ratio': 0, 'n_iter': 50, 'power_t': 0.5, 'shuffle': True, 'fit_intercept': True, 'loss': 'hinge'}",0.994545454545,0.0215897128855,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          0.90909091  1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.90909091  1.          0.90909091
  1.          1.        ]",1.0,0.0,"{'eta0': 0.0, 'n_jobs': -1, 'learning_rate': 'optimal', 'epsilon': 0.1, 'verbose': 0, 'random_state': 0, 'class_weight': None, 'penalty': 'elasticnet', 'alpha': 0.001, 'l1_ratio': 0, 'n_iter': 50, 'power_t': 0.5, 'shuffle': True, 'fit_intercept': True, 'loss': 'hinge'}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
6,IPCAS_1_proba_csd_con_aparc150+subcort,binar,betweenness_centrality,l1_l2_linf,standard,LR,0.942307692308,0.0494047406872,"{'random_state': 0, 'n_jobs': -1, 'fit_intercept': True, 'C': 0.01, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l2'}",0.943636363636,0.0542110964214,"[ 0.90909091  0.90909091  0.90909091  1.          0.90909091  1.
  0.81818182  0.90909091  1.          1.          1.          0.90909091
  0.90909091  0.90909091  0.81818182  0.90909091  0.90909091  1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          0.90909091  0.90909091  0.90909091  1.          1.
  0.90909091  0.90909091  0.90909091  1.          1.          1.          1.
  0.90909091  1.          1.          0.90909091  0.90909091  0.81818182
  0.90909091  0.90909091  0.90909091  0.90909091  0.90909091]",1.0,0.0,"{'random_state': 0, 'n_jobs': -1, 'fit_intercept': True, 'C': 0.1, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l1'}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
7,IPCAS_1_proba_csd_con_aparc150+subcort,binar,betweenness_centrality,l1_l2_linf,standard,SGD,1.0,0.0,"{'eta0': 0.0, 'n_jobs': -1, 'learning_rate': 'optimal', 'epsilon': 0.1, 'verbose': 0, 'random_state': 0, 'class_weight': None, 'penalty': 'elasticnet', 'alpha': 0.001, 'l1_ratio': 1.0, 'n_iter': 50, 'power_t': 0.5, 'shuffle': True, 'fit_intercept': True, 'loss': 'log'}",0.954545454545,0.0522232967867,"[ 1.          0.90909091  0.90909091  1.          1.          1.          1.
  0.90909091  1.          0.90909091  1.          0.81818182  0.90909091
  0.90909091  0.90909091  0.90909091  1.          1.          1.          1.
  0.90909091  0.90909091  1.          1.          1.          1.          1.
  1.          0.90909091  0.90909091  1.          1.          0.90909091
  0.90909091  0.90909091  0.90909091  1.          0.81818182  0.90909091
  1.          1.          1.          0.90909091  1.          0.90909091
  0.90909091  1.          1.          0.90909091  1.        ]",1.0,0.0,"{'eta0': 0.0, 'n_jobs': -1, 'learning_rate': 'optimal', 'epsilon': 0.1, 'verbose': 0, 'random_state': 0, 'class_weight': None, 'penalty': 'elasticnet', 'alpha': 0.001, 'l1_ratio': 0, 'n_iter': 50, 'power_t': 0.5, 'shuffle': True, 'fit_intercept': True, 'loss': 'hinge'}",0.998666666667,0.00653197264742,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          0.96666667  1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]"
8,IPCAS_1_proba_csd_con_aparc150+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,LR,1.0,0.0,"{'random_state': 0, 'n_jobs': -1, 'fit_intercept': True, 'C': 0.25, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l2'}",0.976363636364,0.0474472303662,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          0.90909091  0.81818182  1.          1.          1.          1.
  0.90909091  1.          0.81818182  1.          1.          1.          1.
  0.90909091  1.          1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  0.90909091  1.          0.90909091  0.90909091  1.          0.90909091
  1.          1.        ]",1.0,0.0,"{'random_state': 0, 'n_jobs': -1, 'fit_intercept': True, 'C': 0.01, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l2'}",0.991333333333,0.0256558418732,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          0.96666667  0.86666667  1.          1.          1.          1.
  1.          1.          0.96666667  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.9         1.          1.          1.          1.
  1.          1.          0.93333333  1.          1.          1.          1.
  1.          1.          0.96666667  0.96666667  1.          1.          1.
  1.        ]"
9,IPCAS_1_proba_csd_con_aparc150+subcort,binar,eigenvector_centrality,l1_l2_linf,standard,SGD,1.0,0.0,"{'eta0': 0.0, 'n_jobs': -1, 'learning_rate': 'optimal', 'epsilon': 0.1, 'verbose': 0, 'random_state': 0, 'class_weight': None, 'penalty': 'elasticnet', 'alpha': 0.001, 'l1_ratio': 0.2, 'n_iter': 50, 'power_t': 0.5, 'shuffle': True, 'fit_intercept': True, 'loss': 'hinge'}",0.981818181818,0.0363636363636,"[ 1.          0.90909091  1.          1.          0.90909091  1.          1.
  1.          0.90909091  0.90909091  1.          1.          1.          1.
  1.          0.90909091  0.90909091  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          0.90909091  0.90909091  1.          1.          1.
  1.        ]",1.0,0.0,"{'eta0': 0.0, 'n_jobs': -1, 'learning_rate': 'optimal', 'epsilon': 0.1, 'verbose': 0, 'random_state': 0, 'class_weight': None, 'penalty': 'elasticnet', 'alpha': 0.001, 'l1_ratio': 0, 'n_iter': 50, 'power_t': 0.5, 'shuffle': True, 'fit_intercept': True, 'loss': 'hinge'}",0.999333333333,0.00466666666667,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.96666667  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]"
10,IPCAS_1_proba_csd_con_aparc150+subcort,binar,pagerank,l1_l2_linf,standard,LR,1.0,0.0,"{'random_state': 0, 'n_jobs': -1, 'fit_intercept': True, 'C': 0.1, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l1'}",0.976363636364,0.0474472303662,"[ 1.          1.          1.          1.          1.          1.
  0.90909091  0.90909091  1.          0.90909091  1.          1.          1.
  0.90909091  0.90909091  1.          0.90909091  1.          1.          1.
  1.          0.81818182  1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  0.90909091  1.          1.          1.          1.          1.          1.
  0.90909091  0.81818182  1.          1.          1.          1.          1.
  0.90909091  1.        ]",1.0,0.0,"{'random_state': 0, 'n_jobs': -1, 'fit_intercept': True, 'C': 0.01, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l2'}",0.989333333333,0.0261958436059,"[ 1.          1.          1.          1.          0.93333333  1.          1.
  1.          0.93333333  0.9         1.          1.          1.          1.
  1.          1.          0.93333333  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.9         1.          1.          1.          1.
  1.          1.          0.93333333  1.          1.          1.          1.
  1.          1.          0.96666667  0.96666667  1.          1.          1.
  1.        ]"
11,IPCAS_1_proba_csd_con_aparc150+subcort,binar,pagerank,l1_l2_linf,standard,SGD,1.0,0.0,"{'eta0': 0.0, 'n_jobs': -1, 'learning_rate': 'optimal', 'epsilon': 0.1, 'verbose': 0, 'random_state': 0, 'class_weight': None, 'penalty': 'elasticnet', 'alpha': 0.001, 'l1_ratio': 0, 'n_iter': 50, 'power_t': 0.5, 'shuffle': True, 'fit_intercept': True, 'loss': 'hinge'}",0.992727272727,0.0246630181205,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  0.90909091  1.          1.          1.          1.          1.          1.
  1.          0.90909091  1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]",1.0,0.0,"{'eta0': 0.0, 'n_jobs': -1, 'learning_rate': 'optimal', 'epsilon': 0.1, 'verbose': 0, 'random_state': 0, 'class_weight': None, 'penalty': 'elasticnet', 'alpha': 0.001, 'l1_ratio': 0, 'n_iter': 50, 'power_t': 0.5, 'shuffle': True, 'fit_intercept': True, 'loss': 'hinge'}",0.998666666667,0.00653197264742,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.96666667  1.          1.          1.          1.
  1.          1.          0.96666667  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]"
12,IPCAS_1_proba_csd_con_aparc150+subcort,binar,efficiency,l1_l2_linf,standard,LR,1.0,0.0,"{'random_state': 0, 'n_jobs': -1, 'fit_intercept': True, 'C': 0.45, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l2'}",0.983636363636,0.0349261322042,"[ 1.          1.          1.          1.          0.90909091  1.          1.
  1.          0.90909091  0.90909091  1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          0.90909091  0.90909091  1.          0.90909091
  1.          1.        ]",1.0,0.0,"{'random_state': 0, 'n_jobs': -1, 'fit_intercept': True, 'C': 0.05, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l2'}",0.994,0.0172433562085,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.93333333  1.          1.          1.          1.
  1.          1.          0.93333333  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.93333333  1.          1.          1.          1.
  1.          1.          0.96666667  1.          1.          1.          1.
  1.          1.          0.96666667  0.96666667  1.          1.          1.
  1.        ]"
13,IPCAS_1_proba_csd_con_aparc150+subcort,binar,efficiency,l1_l2_linf,standard,SGD,1.0,0.0,"{'eta0': 0.0, 'n_jobs': -1, 'learning_rate': 'optimal', 'epsilon': 0.1, 'verbose': 0, 'random_state': 0, 'class_weight': None, 'penalty': 'elasticnet', 'alpha': 0.01, 'l1_ratio': 0.4, 'n_iter': 50, 'power_t': 0.5, 'shuffle': True, 'fit_intercept': True, 'loss': 'log'}",0.987272727273,0.0315442755871,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          0.90909091  0.90909091  1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          1.          0.90909091  1.          0.90909091
  1.          1.        ]",1.0,0.0,"{'eta0': 0.0, 'n_jobs': -1, 'learning_rate': 'optimal', 'epsilon': 0.1, 'verbose': 0, 'random_state': 0, 'class_weight': None, 'penalty': 'elasticnet', 'alpha': 0.001, 'l1_ratio': 0, 'n_iter': 50, 'power_t': 0.5, 'shuffle': True, 'fit_intercept': True, 'loss': 'hinge'}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
14,IPCAS_1_proba_csd_con_aparc150+subcort,binar,clustering_coefficient,l1_l2_linf,standard,LR,0.942307692308,0.0494047406872,"{'random_state': 0, 'n_jobs': -1, 'fit_intercept': True, 'C': 0.7000000000000001, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l1'}",0.92,0.0695677326171,"[ 0.90909091  0.90909091  0.90909091  1.          0.81818182  1.
  0.81818182  0.90909091  0.90909091  0.90909091  0.90909091  0.90909091
  0.90909091  0.90909091  0.72727273  0.90909091  0.81818182  1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          0.81818182  0.90909091  0.90909091  0.90909091  1.
  0.90909091  0.90909091  0.90909091  1.          1.          0.90909091
  1.          0.90909091  0.90909091  1.          0.81818182  0.90909091
  0.72727273  0.81818182  0.90909091  0.90909091  0.90909091  0.90909091]",0.984615384615,0.0194601702164,"{'random_state': 0, 'n_jobs': -1, 'fit_intercept': True, 'C': 0.1, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l1'}",0.986,0.021176506899,"[ 0.96666667  1.          0.96666667  1.          0.96666667  1.          1.
  0.96666667  1.          1.          1.          0.93333333  0.96666667
  0.96666667  0.93333333  1.          1.          1.          1.          1.
  1.          0.96666667  1.          1.          1.          1.          1.
  0.93333333  0.96666667  0.93333333  1.          1.          0.96666667
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.96666667  0.96666667  1.          1.          1.
  0.96666667  0.96666667  1.        ]"
15,IPCAS_1_proba_csd_con_aparc150+subcort,binar,clustering_coefficient,l1_l2_linf,standard,SGD,0.961538461538,0.0486504255411,"{'eta0': 0.0, 'n_jobs': -1, 'learning_rate': 'optimal', 'epsilon': 0.1, 'verbose': 0, 'random_state': 0, 'class_weight': None, 'penalty': 'elasticnet', 'alpha': 0.001, 'l1_ratio': 0.8, 'n_iter': 50, 'power_t': 0.5, 'shuffle': True, 'fit_intercept': True, 'loss': 'log'}",0.947272727273,0.0632194132753,"[ 0.90909091  0.90909091  1.          1.          0.90909091  1.
  0.90909091  0.90909091  0.90909091  0.90909091  1.          1.          1.
  0.72727273  0.81818182  0.90909091  0.90909091  1.          1.          1.
  1.          0.90909091  1.          1.          1.          1.          1.
  0.90909091  1.          0.90909091  0.81818182  1.          1.
  0.90909091  1.          1.          1.          0.90909091  1.          1.
  1.          1.          0.90909091  0.90909091  0.81818182  0.90909091
  1.          0.90909091  0.90909091  0.90909091]",1.0,0.0,"{'eta0': 0.0, 'n_jobs': -1, 'learning_rate': 'optimal', 'epsilon': 0.1, 'verbose': 0, 'random_state': 0, 'class_weight': None, 'penalty': 'elasticnet', 'alpha': 0.001, 'l1_ratio': 0.2, 'n_iter': 50, 'power_t': 0.5, 'shuffle': True, 'fit_intercept': True, 'loss': 'modified_huber'}",0.995333333333,0.0176509363932,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.96666667  1.          1.          1.
  0.93333333  1.          1.          0.96666667  1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.9         1.          1.          1.
  1.          1.        ]"
16,IPCAS_1_proba_csd_con_aparc150+subcort,binar,triangles,l1_l2_linf,standard,LR,0.980769230769,0.0394113490998,"{'random_state': 0, 'n_jobs': -1, 'fit_intercept': True, 'C': 0.65, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l1'}",0.987272727273,0.0315442755871,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          0.90909091
  1.          0.90909091  1.          1.          1.          1.          1.
  1.          0.90909091  1.          1.          1.          1.          1.
  1.          0.90909091  1.          1.          1.          0.90909091
  1.          0.90909091  1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          0.90909091
  1.          1.          1.          1.        ]",1.0,0.0,"{'random_state': 0, 'n_jobs': -1, 'fit_intercept': True, 'C': 0.05, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l2'}",0.998,0.00791622805803,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.96666667  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.96666667  0.96666667  1.          1.          1.
  1.        ]"
17,IPCAS_1_proba_csd_con_aparc150+subcort,binar,triangles,l1_l2_linf,standard,SGD,1.0,0.0,"{'eta0': 0.0, 'n_jobs': -1, 'learning_rate': 'optimal', 'epsilon': 0.1, 'verbose': 0, 'random_state': 0, 'class_weight': None, 'penalty': 'elasticnet', 'alpha': 0.1, 'l1_ratio': 0.8, 'n_iter': 50, 'power_t': 0.5, 'shuffle': True, 'fit_intercept': True, 'loss': 'hinge'}",0.978181818182,0.0428720949911,"[ 1.          0.90909091  1.          1.          1.          1.          1.
  1.          0.90909091  1.          1.          1.          0.90909091
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          0.90909091  1.          1.          1.          0.90909091
  0.90909091  0.90909091  1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.90909091  0.81818182
  1.          0.90909091  1.          1.        ]",1.0,0.0,"{'eta0': 0.0, 'n_jobs': -1, 'learning_rate': 'optimal', 'epsilon': 0.1, 'verbose': 0, 'random_state': 0, 'class_weight': None, 'penalty': 'elasticnet', 'alpha': 0.001, 'l1_ratio': 0, 'n_iter': 50, 'power_t': 0.5, 'shuffle': True, 'fit_intercept': True, 'loss': 'hinge'}",0.998666666667,0.00653197264742,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.96666667  0.96666667  1.          1.          1.
  1.        ]"
18,IPCAS_1_proba_csd_con_aparc150+subcort,max,bag_of_edges,l1_l2_linf,standard,LR,0.942307692308,0.0707455367247,"{'random_state': 0, 'n_jobs': -1, 'fit_intercept': True, 'C': 0.01, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l2'}",0.952727272727,0.0609565622336,"[ 1.          0.90909091  1.          1.          1.          1.
  0.90909091  0.90909091  1.          0.90909091  0.90909091  1.          1.
  0.90909091  0.90909091  0.81818182  0.90909091  0.90909091  1.
  0.90909091  0.90909091  0.81818182  1.          1.          0.90909091
  1.          1.          1.          1.          0.90909091  1.          1.
  1.          0.90909091  0.81818182  1.          1.          1.          1.
  1.          1.          0.90909091  0.81818182  0.81818182  1.          1.
  1.          1.          0.90909091  1.        ]",0.99358974359,0.011703473451,"{'random_state': 0, 'n_jobs': -1, 'fit_intercept': True, 'C': 0.01, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l2'}",0.994666666667,0.0154344492037,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.93333333  1.          1.          1.          1.
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          0.96666667
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          0.96666667  0.93333333  1.          1.          1.          1.
  1.          1.        ]"
