,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
17,IPCAS_1_deter_csa_con_ROIv_scale33,binar,triangles,l1_l2_linf,standard,SGD,0.980769230769,0.0394113490998,"{'l1_ratio': 0.6, 'alpha': 0.001, 'class_weight': None, 'fit_intercept': True, 'loss': 'modified_huber', 'eta0': 0.0, 'verbose': 0, 'epsilon': 0.1, 'random_state': 0, 'shuffle': True, 'learning_rate': 'optimal', 'n_jobs': -1, 'power_t': 0.5, 'penalty': 'elasticnet', 'n_iter': 50}",0.970909090909,0.0528212328958,"[ 1.          1.          1.          1.          0.90909091  0.90909091
  1.          1.          1.          1.          0.90909091  1.          1.
  1.          1.          1.          1.          0.72727273  0.90909091
  1.          1.          1.          1.          1.          0.90909091
  0.90909091  1.          1.          1.          0.90909091  1.          1.
  0.90909091  1.          0.90909091  1.          1.          0.90909091
  1.          1.          1.          0.90909091  1.          0.90909091
  1.          1.          1.          0.90909091  1.          1.        ]",1.0,0.0,"{'l1_ratio': 0, 'alpha': 0.001, 'class_weight': None, 'fit_intercept': True, 'loss': 'hinge', 'eta0': 0.0, 'verbose': 0, 'epsilon': 0.1, 'random_state': 0, 'shuffle': True, 'learning_rate': 'optimal', 'n_jobs': -1, 'power_t': 0.5, 'penalty': 'elasticnet', 'n_iter': 50}",0.997333333333,0.00904310664417,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.96666667  1.          1.
  1.          1.          1.          1.          1.          1.
  0.96666667  1.          0.96666667  1.          1.          1.
  0.96666667  1.          1.        ]"
18,IPCAS_1_deter_csa_con_ROIv_scale33,max,bag_of_edges,l1_l2_linf,standard,LR,0.942307692308,0.1182340473,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l2', 'C': 0.8}",0.918181818182,0.0755147623902,"[ 1.          0.90909091  0.81818182  1.          0.90909091  0.90909091
  0.90909091  0.72727273  1.          0.90909091  1.          1.
  0.90909091  1.          0.90909091  1.          0.90909091  0.90909091
  1.          1.          0.90909091  1.          0.81818182  0.90909091
  0.90909091  0.90909091  0.90909091  0.90909091  0.72727273  0.90909091
  0.90909091  0.81818182  0.90909091  1.          0.90909091  0.90909091
  0.90909091  0.90909091  0.81818182  0.81818182  0.72727273  0.90909091
  0.81818182  1.          1.          1.          1.          1.
  0.90909091  1.        ]",0.976923076923,0.0472936189198,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l2', 'C': 0.01}",0.976,0.0420528767678,"[ 1.          1.          0.93333333  1.          0.9         0.93333333
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.98333333  1.          1.
  1.          1.          0.9         0.93333333  0.86666667  1.
  0.96666667  1.          0.86666667  1.          1.          0.93333333
  1.          1.          1.          1.          1.          0.98333333
  0.9         1.          0.9         0.86666667  0.93333333  1.          1.
  1.          1.          1.          1.          1.        ]"
19,IPCAS_1_deter_csa_con_ROIv_scale33,max,bag_of_edges,l1_l2_linf,standard,SGD,0.961538461538,0.0788226981997,"{'l1_ratio': 0, 'alpha': 0.1, 'class_weight': None, 'fit_intercept': True, 'loss': 'modified_huber', 'eta0': 0.0, 'verbose': 0, 'epsilon': 0.1, 'random_state': 0, 'shuffle': True, 'learning_rate': 'optimal', 'n_jobs': -1, 'power_t': 0.5, 'penalty': 'elasticnet', 'n_iter': 50}",0.92,0.0741675565613,"[ 1.          0.90909091  0.81818182  1.          0.90909091  0.90909091
  0.90909091  0.72727273  1.          0.90909091  1.          1.
  0.90909091  1.          0.90909091  1.          0.90909091  0.90909091
  1.          1.          0.90909091  1.          0.81818182  0.90909091
  0.90909091  0.90909091  0.90909091  0.90909091  0.72727273  0.90909091
  0.90909091  0.81818182  0.90909091  1.          0.90909091  0.90909091
  0.90909091  0.90909091  0.81818182  0.81818182  0.72727273  0.90909091
  0.90909091  1.          1.          1.          1.          1.
  0.90909091  1.        ]",0.976923076923,0.0472936189198,"{'l1_ratio': 0, 'alpha': 0.001, 'class_weight': None, 'fit_intercept': True, 'loss': 'hinge', 'eta0': 0.0, 'verbose': 0, 'epsilon': 0.1, 'random_state': 0, 'shuffle': True, 'learning_rate': 'optimal', 'n_jobs': -1, 'power_t': 0.5, 'penalty': 'elasticnet', 'n_iter': 50}",0.976,0.0420528767678,"[ 1.          1.          0.93333333  1.          0.9         0.93333333
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.98333333  1.          1.
  1.          1.          0.9         0.93333333  0.86666667  1.
  0.96666667  1.          0.86666667  1.          1.          0.93333333
  1.          1.          1.          1.          1.          0.98333333
  0.9         1.          0.9         0.86666667  0.93333333  1.          1.
  1.          1.          1.          1.          1.        ]"
20,IPCAS_1_deter_csa_con_ROIv_scale33,max,degrees,l1_l2_linf,standard,LR,0.942307692308,0.0707455367247,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l2', 'C': 0.01}",0.934545454545,0.0728181250709,"[ 0.90909091  1.          0.81818182  0.90909091  0.90909091  0.90909091
  1.          1.          1.          0.81818182  0.90909091  0.90909091
  1.          1.          1.          1.          0.90909091  0.81818182
  0.81818182  1.          1.          0.90909091  0.81818182  0.90909091
  0.90909091  0.90909091  0.81818182  0.90909091  1.          0.90909091
  0.81818182  0.90909091  0.81818182  1.          1.          1.          1.
  0.81818182  1.          1.          1.          1.          1.
  0.81818182  1.          1.          1.          0.81818182  1.          1.        ]",1.0,0.0,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'C': 0.1}",0.994666666667,0.0122202018532,"[ 1.          1.          1.          1.          0.96666667  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.96666667  0.96666667  1.          1.
  1.          1.          1.          0.96666667  1.          1.          1.
  1.          1.          1.          1.          0.96666667  1.          1.
  1.          1.          0.96666667  1.          1.          1.          1.
  1.          0.96666667  1.          1.          1.          0.96666667
  1.          1.        ]"
21,IPCAS_1_deter_csa_con_ROIv_scale33,max,degrees,l1_l2_linf,standard,SGD,0.961538461538,0.0486504255411,"{'l1_ratio': 0.6, 'alpha': 0.001, 'class_weight': None, 'fit_intercept': True, 'loss': 'log', 'eta0': 0.0, 'verbose': 0, 'epsilon': 0.1, 'random_state': 0, 'shuffle': True, 'learning_rate': 'optimal', 'n_jobs': -1, 'power_t': 0.5, 'penalty': 'elasticnet', 'n_iter': 50}",0.925454545455,0.0720192811649,"[ 0.90909091  1.          0.81818182  1.          0.81818182  0.90909091
  1.          0.90909091  1.          0.90909091  0.90909091  1.          1.
  1.          1.          1.          0.90909091  0.81818182  0.81818182
  1.          1.          1.          0.81818182  0.90909091  0.81818182
  0.90909091  0.90909091  1.          0.81818182  0.90909091  0.90909091
  0.81818182  0.90909091  1.          1.          1.          1.
  0.81818182  0.81818182  0.90909091  0.81818182  0.90909091  0.90909091
  0.90909091  1.          1.          1.          0.81818182  0.90909091
  1.        ]",1.0,0.0,"{'l1_ratio': 0, 'alpha': 0.01, 'class_weight': None, 'fit_intercept': True, 'loss': 'log', 'eta0': 0.0, 'verbose': 0, 'epsilon': 0.1, 'random_state': 0, 'shuffle': True, 'learning_rate': 'optimal', 'n_jobs': -1, 'power_t': 0.5, 'penalty': 'elasticnet', 'n_iter': 50}",0.992,0.0206128331117,"[ 1.          1.          1.          1.          0.96666667  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.96666667  0.93333333  1.          1.
  1.          1.          1.          0.96666667  1.          1.          1.
  1.          1.          1.          1.          0.96666667  1.          1.
  1.          1.          0.9         1.          1.          1.          1.
  1.          0.93333333  1.          1.          1.          0.96666667
  1.          1.        ]"
22,IPCAS_1_deter_csa_con_ROIv_scale33,max,closeness_centrality,l1_l2_linf,standard,LR,0.942307692308,0.0707455367247,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l2', 'C': 0.01}",0.947272727273,0.0657820091459,"[ 0.90909091  1.          0.90909091  0.90909091  0.90909091  0.90909091
  1.          1.          1.          0.81818182  1.          0.90909091
  1.          1.          1.          1.          0.90909091  0.90909091
  0.90909091  1.          1.          0.90909091  0.81818182  0.90909091
  1.          0.90909091  0.81818182  0.90909091  1.          0.90909091
  0.81818182  1.          0.81818182  1.          1.          1.          1.
  0.81818182  1.          1.          1.          1.          1.
  0.90909091  1.          1.          1.          0.81818182  1.          1.        ]",1.0,0.0,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l2', 'C': 0.01}",0.996,0.0108320512062,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.96666667  0.96666667  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.96666667  1.          1.
  1.          1.          0.96666667  1.          1.          1.          1.
  1.          0.96666667  1.          1.          1.          0.96666667
  1.          1.        ]"
23,IPCAS_1_deter_csa_con_ROIv_scale33,max,closeness_centrality,l1_l2_linf,standard,SGD,1.0,0.0,"{'l1_ratio': 0, 'alpha': 0.001, 'class_weight': None, 'fit_intercept': True, 'loss': 'hinge', 'eta0': 0.0, 'verbose': 0, 'epsilon': 0.1, 'random_state': 0, 'shuffle': True, 'learning_rate': 'optimal', 'n_jobs': -1, 'power_t': 0.5, 'penalty': 'elasticnet', 'n_iter': 50}",0.998181818182,0.0127272727273,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.90909091  1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]",1.0,0.0,"{'l1_ratio': 0, 'alpha': 0.001, 'class_weight': None, 'fit_intercept': True, 'loss': 'hinge', 'eta0': 0.0, 'verbose': 0, 'epsilon': 0.1, 'random_state': 0, 'shuffle': True, 'learning_rate': 'optimal', 'n_jobs': -1, 'power_t': 0.5, 'penalty': 'elasticnet', 'n_iter': 50}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
24,IPCAS_1_deter_csa_con_ROIv_scale33,max,betweenness_centrality,l1_l2_linf,standard,LR,0.865384615385,0.0520771692605,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'C': 0.9}",0.856363636364,0.0928697657391,"[ 0.81818182  0.90909091  0.63636364  0.72727273  0.81818182  0.90909091
  0.90909091  0.90909091  0.90909091  0.90909091  0.90909091  0.81818182
  0.81818182  0.81818182  0.81818182  1.          0.90909091  0.90909091
  0.81818182  0.90909091  0.90909091  0.63636364  0.72727273  0.81818182
  0.90909091  1.          0.81818182  0.90909091  0.81818182  0.81818182
  0.72727273  0.72727273  1.          0.90909091  1.          1.
  0.90909091  0.72727273  0.90909091  0.81818182  0.72727273  0.81818182
  0.81818182  0.90909091  0.72727273  0.90909091  1.          1.
  0.81818182  0.81818182]",0.932051282051,0.0776052373795,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'C': 0.9500000000000001}",0.924,0.0797328874012,"[ 0.83333333  1.          0.9         0.86666667  0.86666667  0.96666667
  1.          1.          0.96666667  0.93333333  0.93333333  0.9         0.9
  0.93333333  0.9         1.          0.96666667  0.96666667  0.9
  0.93333333  1.          0.73333333  0.83333333  1.          0.86666667
  1.          0.9         0.9         0.83333333  0.9         1.
  0.93333333  1.          1.          1.          1.          0.96666667
  0.9         0.9         0.83333333  0.6         0.86666667  0.76666667
  0.96666667  0.96666667  1.          1.          1.          0.93333333
  0.93333333]"
25,IPCAS_1_deter_csa_con_ROIv_scale33,max,betweenness_centrality,l1_l2_linf,standard,SGD,0.884615384615,0.0418388945438,"{'l1_ratio': 0.6, 'alpha': 0.1, 'class_weight': None, 'fit_intercept': True, 'loss': 'modified_huber', 'eta0': 0.0, 'verbose': 0, 'epsilon': 0.1, 'random_state': 0, 'shuffle': True, 'learning_rate': 'optimal', 'n_jobs': -1, 'power_t': 0.5, 'penalty': 'elasticnet', 'n_iter': 50}",0.86,0.0817373337927,"[ 0.81818182  0.90909091  0.72727273  0.72727273  0.81818182  0.90909091
  0.90909091  0.90909091  0.90909091  0.90909091  0.90909091  0.81818182
  0.81818182  0.81818182  0.81818182  1.          0.90909091  0.90909091
  0.72727273  0.81818182  1.          0.72727273  0.72727273  0.81818182
  0.81818182  1.          0.90909091  0.90909091  0.81818182  0.81818182
  0.72727273  0.81818182  1.          0.90909091  0.90909091  1.
  0.90909091  0.72727273  0.90909091  0.81818182  0.72727273  0.81818182
  0.81818182  0.90909091  0.81818182  0.90909091  1.          0.90909091
  0.81818182  0.90909091]",0.947435897436,0.041506265881,"{'l1_ratio': 0.8, 'alpha': 0.001, 'class_weight': None, 'fit_intercept': True, 'loss': 'modified_huber', 'eta0': 0.0, 'verbose': 0, 'epsilon': 0.1, 'random_state': 0, 'shuffle': True, 'learning_rate': 'optimal', 'n_jobs': -1, 'power_t': 0.5, 'penalty': 'elasticnet', 'n_iter': 50}",0.916,0.083330666624,"[ 0.96666667  1.          0.9         0.9         0.93333333  0.96666667
  1.          0.76666667  1.          0.96666667  0.93333333  0.8
  0.86666667  0.93333333  0.93333333  1.          0.93333333  1.          0.8
  0.93333333  1.          0.66666667  0.86666667  0.9         0.9         1.
  0.9         0.73333333  0.86666667  0.86666667  1.          0.8         1.
  1.          1.          1.          1.          0.9         0.9
  0.93333333  0.76666667  0.76666667  0.86666667  0.93333333  1.          1.
  1.          0.93333333  0.83333333  0.93333333]"
26,IPCAS_1_deter_csa_con_ROIv_scale33,max,eigenvector_centrality,l1_l2_linf,standard,LR,0.961538461538,0.0452366122164,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l2', 'C': 0.01}",0.947272727273,0.0682484522877,"[ 0.90909091  1.          0.81818182  0.90909091  0.90909091  1.          1.
  1.          1.          0.81818182  0.90909091  0.90909091  1.          1.
  1.          1.          1.          0.81818182  0.81818182  1.          1.
  0.90909091  0.90909091  1.          0.90909091  0.90909091  0.90909091
  1.          1.          0.90909091  0.81818182  0.90909091  0.90909091
  1.          1.          1.          1.          0.81818182  1.          1.
  1.          1.          1.          0.81818182  1.          1.          1.
  0.81818182  1.          1.        ]",0.99358974359,0.011703473451,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'C': 0.1}",0.993333333333,0.0133333333333,"[ 1.          1.          1.          0.96666667  0.96666667  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.96666667  0.96666667  1.          1.
  0.96666667  0.96666667  1.          0.96666667  1.          1.          1.
  1.          1.          1.          1.          0.96666667  1.          1.
  1.          1.          0.96666667  1.          1.          1.          1.
  1.          1.          1.          1.          1.          0.96666667
  1.          1.        ]"
27,IPCAS_1_deter_csa_con_ROIv_scale33,max,eigenvector_centrality,l1_l2_linf,standard,SGD,0.961538461538,0.0452366122164,"{'l1_ratio': 0, 'alpha': 0.1, 'class_weight': None, 'fit_intercept': True, 'loss': 'hinge', 'eta0': 0.0, 'verbose': 0, 'epsilon': 0.1, 'random_state': 0, 'shuffle': True, 'learning_rate': 'optimal', 'n_jobs': -1, 'power_t': 0.5, 'penalty': 'elasticnet', 'n_iter': 50}",0.954545454545,0.0609836721136,"[ 0.90909091  1.          0.90909091  0.90909091  0.90909091  1.          1.
  1.          1.          1.          0.90909091  0.90909091  1.          1.
  1.          1.          1.          0.81818182  0.81818182  1.          1.
  0.90909091  0.90909091  1.          0.81818182  0.90909091  1.          1.
  1.          0.90909091  0.90909091  1.          0.90909091  1.          1.
  1.          1.          0.81818182  1.          0.90909091  1.          1.
  1.          0.90909091  1.          1.          1.          0.81818182
  0.90909091  1.        ]",0.99358974359,0.011703473451,"{'l1_ratio': 0, 'alpha': 0.01, 'class_weight': None, 'fit_intercept': True, 'loss': 'log', 'eta0': 0.0, 'verbose': 0, 'epsilon': 0.1, 'random_state': 0, 'shuffle': True, 'learning_rate': 'optimal', 'n_jobs': -1, 'power_t': 0.5, 'penalty': 'elasticnet', 'n_iter': 50}",0.988,0.0272926526539,"[ 1.          1.          1.          0.96666667  0.96666667  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.96666667  0.86666667  1.          1.
  0.96666667  0.96666667  1.          0.96666667  1.          1.          1.
  1.          1.          1.          1.          0.96666667  1.          1.
  1.          1.          0.9         1.          1.          1.          1.
  1.          0.93333333  1.          1.          1.          0.93333333
  1.          1.        ]"
28,IPCAS_1_deter_csa_con_ROIv_scale33,max,pagerank,l1_l2_linf,standard,LR,0.923076923077,0.0658729875829,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'C': 0.1}",0.912727272727,0.067932878881,"[ 0.90909091  1.          0.81818182  0.90909091  0.81818182  0.90909091
  0.90909091  1.          1.          0.81818182  0.90909091  0.90909091
  1.          1.          1.          1.          0.90909091  0.81818182
  0.90909091  0.81818182  0.90909091  0.81818182  0.81818182  0.90909091
  0.81818182  0.90909091  0.90909091  1.          0.90909091  0.90909091
  0.90909091  0.90909091  0.90909091  1.          0.90909091  1.          1.
  0.81818182  0.90909091  0.90909091  0.90909091  0.81818182  0.81818182
  0.81818182  1.          0.90909091  1.          0.81818182  1.          1.        ]",0.973076923077,0.034429701411,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l2', 'C': 0.01}",0.978,0.036884203183,"[ 0.96666667  1.          0.96666667  0.96666667  0.96666667  1.          1.
  1.          1.          1.          0.96666667  0.93333333  1.          1.
  1.          1.          1.          0.96666667  0.9         0.96666667
  1.          0.86666667  0.93333333  1.          0.93333333  1.          1.
  1.          1.          0.93333333  1.          1.          0.96666667
  1.          1.          1.          1.          0.83333333  1.          1.
  1.          1.          1.          0.93333333  1.          1.          1.
  0.93333333  0.96666667  1.        ]"
29,IPCAS_1_deter_csa_con_ROIv_scale33,max,pagerank,l1_l2_linf,standard,SGD,0.942307692308,0.0707455367247,"{'l1_ratio': 1.0, 'alpha': 1.0, 'class_weight': None, 'fit_intercept': True, 'loss': 'modified_huber', 'eta0': 0.0, 'verbose': 0, 'epsilon': 0.1, 'random_state': 0, 'shuffle': True, 'learning_rate': 'optimal', 'n_jobs': -1, 'power_t': 0.5, 'penalty': 'elasticnet', 'n_iter': 50}",0.88,0.095242188027,"[ 1.          1.          0.81818182  0.81818182  0.81818182  0.90909091
  0.90909091  1.          1.          0.63636364  0.90909091  0.90909091
  0.90909091  1.          1.          0.90909091  0.81818182  0.81818182
  0.81818182  0.72727273  1.          0.81818182  0.81818182  0.90909091
  0.72727273  0.90909091  0.90909091  0.72727273  0.81818182  0.90909091
  0.72727273  0.90909091  1.          1.          0.90909091  1.
  0.90909091  0.90909091  0.81818182  1.          0.81818182  0.81818182
  0.72727273  0.81818182  1.          0.90909091  0.90909091  0.72727273
  0.81818182  1.        ]",0.973076923077,0.034429701411,"{'l1_ratio': 0, 'alpha': 0.1, 'class_weight': None, 'fit_intercept': True, 'loss': 'hinge', 'eta0': 0.0, 'verbose': 0, 'epsilon': 0.1, 'random_state': 0, 'shuffle': True, 'learning_rate': 'optimal', 'n_jobs': -1, 'power_t': 0.5, 'penalty': 'elasticnet', 'n_iter': 50}",0.974666666667,0.0408574758561,"[ 0.96666667  1.          0.96666667  0.96666667  0.96666667  1.          1.
  1.          1.          1.          0.93333333  0.93333333  1.          1.
  1.          1.          1.          0.96666667  0.83333333  0.96666667
  1.          0.9         0.93333333  1.          0.93333333  1.          1.
  1.          1.          0.93333333  1.          1.          0.9         1.
  1.          1.          1.          0.86666667  1.          1.          1.
  1.          1.          0.9         1.          1.          1.          0.9
  0.96666667  1.        ]"
30,IPCAS_1_deter_csa_con_ROIv_scale33,max,efficiency,l1_l2_linf,standard,LR,0.923076923077,0.0658729875829,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l2', 'C': 0.01}",0.932727272727,0.0722941649166,"[ 0.90909091  1.          0.81818182  0.90909091  0.90909091  0.90909091
  1.          1.          1.          0.81818182  0.90909091  0.90909091
  1.          1.          1.          1.          0.90909091  0.81818182
  0.81818182  1.          1.          0.90909091  0.81818182  0.90909091
  0.90909091  0.90909091  0.81818182  0.90909091  1.          0.90909091
  0.81818182  0.90909091  0.81818182  1.          1.          1.          1.
  0.81818182  1.          1.          1.          1.          0.90909091
  0.81818182  1.          1.          1.          0.81818182  1.          1.        ]",1.0,0.0,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'C': 0.1}",0.994666666667,0.0122202018532,"[ 1.          1.          1.          1.          0.96666667  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.96666667  0.96666667  1.          1.
  1.          1.          1.          0.96666667  1.          1.          1.
  1.          1.          1.          1.          0.96666667  1.          1.
  1.          1.          0.96666667  1.          1.          1.          1.
  1.          0.96666667  1.          1.          1.          0.96666667
  1.          1.        ]"
31,IPCAS_1_deter_csa_con_ROIv_scale33,max,efficiency,l1_l2_linf,standard,SGD,0.961538461538,0.0486504255411,"{'l1_ratio': 0.4, 'alpha': 0.001, 'class_weight': None, 'fit_intercept': True, 'loss': 'modified_huber', 'eta0': 0.0, 'verbose': 0, 'epsilon': 0.1, 'random_state': 0, 'shuffle': True, 'learning_rate': 'optimal', 'n_jobs': -1, 'power_t': 0.5, 'penalty': 'elasticnet', 'n_iter': 50}",0.932727272727,0.065074655157,"[ 0.90909091  1.          0.90909091  1.          0.90909091  0.90909091
  1.          0.90909091  1.          0.90909091  0.90909091  1.          1.
  1.          1.          1.          0.90909091  0.81818182  0.90909091
  1.          1.          0.90909091  0.90909091  0.90909091  0.81818182
  0.90909091  0.90909091  1.          0.81818182  0.81818182  1.
  0.81818182  0.90909091  1.          1.          1.          1.
  0.90909091  0.81818182  0.90909091  0.81818182  0.90909091  0.90909091
  0.90909091  1.          1.          1.          0.81818182  0.90909091
  1.        ]",1.0,0.0,"{'l1_ratio': 0.4, 'alpha': 0.01, 'class_weight': None, 'fit_intercept': True, 'loss': 'log', 'eta0': 0.0, 'verbose': 0, 'epsilon': 0.1, 'random_state': 0, 'shuffle': True, 'learning_rate': 'optimal', 'n_jobs': -1, 'power_t': 0.5, 'penalty': 'elasticnet', 'n_iter': 50}",0.994,0.0144376052185,"[ 1.          1.          1.          1.          0.96666667  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.96666667  0.96666667  1.          1.
  1.          1.          1.          0.96666667  1.          1.          1.
  1.          1.          1.          1.          0.96666667  1.          1.
  1.          1.          0.93333333  1.          1.          1.          1.
  1.          0.96666667  1.          1.          1.          0.96666667
  1.          1.        ]"
32,IPCAS_1_deter_csa_con_ROIv_scale33,max,clustering_coefficient,l1_l2_linf,standard,LR,0.961538461538,0.0452366122164,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'C': 0.1}",0.914545454545,0.0879706938429,"[ 1.          0.90909091  0.72727273  0.81818182  0.81818182  0.90909091
  1.          1.          0.90909091  0.90909091  1.          0.81818182
  0.90909091  0.90909091  1.          1.          1.          0.90909091
  0.81818182  0.90909091  1.          0.90909091  0.72727273  0.81818182
  0.81818182  1.          0.81818182  1.          0.72727273  0.81818182
  0.81818182  0.90909091  1.          1.          1.          1.          1.
  0.72727273  0.90909091  1.          0.81818182  0.90909091  0.90909091
  1.          0.90909091  1.          1.          1.          1.
  0.90909091]",0.961538461538,0.0788226981997,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'C': 0.1}",0.961333333333,0.0563165655518,"[ 1.          1.          0.93333333  0.96666667  0.9         0.9         1.
  1.          1.          0.93333333  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  0.96666667  0.86666667  0.86666667  0.86666667  1.          0.9         1.
  0.86666667  0.96666667  1.          0.86666667  1.          1.          1.
  1.          1.          0.9         0.83333333  1.          0.86666667
  0.83333333  0.86666667  1.          1.          1.          1.          1.
  1.          0.96666667]"
